Ano;Região;UF;Código do Município;Nome do Município;Localização;Dependência Administrativa;Total  ;1ª série;2ª série;3ª série;4ª série;Não-Seriado
2019;Sudeste;SP;3501103;Alto Alegre;Total;Estadual;7,7;11,6;10;0;--;--
2019;Sudeste;SP;3501103;Alto Alegre;Urbana;Estadual;7,7;11,6;10;0;--;--
2019;Sudeste;SP;3501103;Alto Alegre;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501103;Alto Alegre;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501103;Alto Alegre;Total;Pública;7,7;11,6;10;0;--;--
2019;Sudeste;SP;3501103;Alto Alegre;Urbana;Pública;7,7;11,6;10;0;--;--
2019;Sudeste;SP;3501152;Alumínio;Total;Total;0,7;1;0;1,1;--;--
2019;Sudeste;SP;3501152;Alumínio;Urbana;Total;0,7;1;0;1,1;--;--
2019;Sudeste;SP;3501152;Alumínio;Rural;Total;--;--;--;--;--;--
2019;Sudeste;SP;3501152;Alumínio;Total;Estadual;0,9;1,6;0;1,3;--;--
2019;Sudeste;SP;3501152;Alumínio;Urbana;Estadual;0,9;1,6;0;1,3;--;--
2019;Sudeste;SP;3501152;Alumínio;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501152;Alumínio;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501152;Alumínio;Rural;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501152;Alumínio;Total;Privada;0;0;0;0;--;--
2019;Sudeste;SP;3501152;Alumínio;Urbana;Privada;0;0;0;0;--;--
2019;Sudeste;SP;3501152;Alumínio;Total;Pública;0,9;1,6;0;1,3;--;--
2019;Sudeste;SP;3501152;Alumínio;Urbana;Pública;0,9;1,6;0;1,3;--;--
2019;Sudeste;SP;3501152;Alumínio;Rural;Pública;--;--;--;--;--;--
2019;Sudeste;SP;3501202;Álvares Florence;Total;Total;1,8;0;4,7;0;--;--
2019;Sudeste;SP;3501202;Álvares Florence;Urbana;Total;1,8;0;4,7;0;--;--
2019;Sudeste;SP;3501202;Álvares Florence;Total;Estadual;1,8;0;4,7;0;--;--
2019;Sudeste;SP;3501202;Álvares Florence;Urbana;Estadual;1,8;0;4,7;0;--;--
2019;Sudeste;SP;3501202;Álvares Florence;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501202;Álvares Florence;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501202;Álvares Florence;Total;Pública;1,8;0;4,7;0;--;--
2019;Sudeste;SP;3501202;Álvares Florence;Urbana;Pública;1,8;0;4,7;0;--;--
2019;Sudeste;SP;3501301;Álvares Machado;Total;Total;3,1;3,8;3,6;1,5;--;--
2019;Sudeste;SP;3501301;Álvares Machado;Urbana;Total;3,1;3,8;3,6;1,5;--;--
2019;Sudeste;SP;3501301;Álvares Machado;Total;Estadual;4,1;5,1;4,9;2,1;--;--
2019;Sudeste;SP;3501301;Álvares Machado;Urbana;Estadual;4,1;5,1;4,9;2,1;--;--
2019;Sudeste;SP;3501301;Álvares Machado;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501301;Álvares Machado;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501301;Álvares Machado;Total;Privada;0;0;0;0;--;--
2019;Sudeste;SP;3501301;Álvares Machado;Urbana;Privada;0;0;0;0;--;--
2019;Sudeste;SP;3501301;Álvares Machado;Total;Pública;4,1;5,1;4,9;2,1;--;--
2019;Sudeste;SP;3501301;Álvares Machado;Urbana;Pública;4,1;5,1;4,9;2,1;--;--
2019;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Total;0;0;0;0;--;--
2019;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Total;0;0;0;0;--;--
2019;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Pública;0;0;0;0;--;--
2019;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Pública;0;0;0;0;--;--
