Ano;Região;UF;Código do Município;Nome do Município;Código da Escola;Nome da Escola;Localização;Dependência Administrativa;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono
2019;Sudeste;SP;3501004;Altinópolis;35176459;DINAMICA ESCOLA;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501004;Altinópolis;35210134;ALAYDE DE FIGUEIREDO PALMA CANASSA EMEFEI;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501004;Altinópolis;35220899;CARMEM MIGUEL VICARI EMEF;Rural;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501004;Altinópolis;35220905;GERALDO TROSSEL PADRE EMEF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501004;Altinópolis;35239781;JOAQUIM DA CUNHA CORONEL EMEF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501004;Altinópolis;35281360;ERMELINDA ROSALINA SAMMARCO DE FIGUEIREDO EMEFEI;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501004;Altinópolis;35567644;ANA LUCIA FELIPE PENTEADO FERREIRA EMEFEI;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501103;Alto Alegre;35030326;DIOGO GARCIA MARTINS EXPEDICIONARIO;Urbana;Estadual;7,7;11,6;10,0;0,0;--;--
2019;Sudeste;SP;3501103;Alto Alegre;35436379;EMEF PROFESSOR SUSSUMI IVAMA;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501152;Alumínio;35016020;HONORINA RIOS DE CARVALHO MELLO;Urbana;Estadual;0,9;1,6;0,0;1,3;--;--
2019;Sudeste;SP;3501152;Alumínio;35078633;JOSE JOAQUIM DA SILVA ESCOLA MUNICIPAL;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501152;Alumínio;35111818;SESI 192 CENTRO EDUCACIONAL;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501152;Alumínio;35204122;MANOEL NETTO FILHO ESCOLA MUNICIPAL;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501152;Alumínio;35211412;JOAO DE ALMEIDA ESCOLA MUNICIPAL;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501152;Alumínio;35240138;ANTONIO DE CASTRO FIGUEIROA ENGENHEIRO ESCOLA MUNICIPAL;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501152;Alumínio;35240151;RODOVALHO COMENDADOR ESCOLA MUNICIPAL;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501152;Alumínio;35274227;ISAURA KRUGER PROFA ESCOLA MUNICIPAL;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501152;Alumínio;35281608;JOSE JESUS PAES ESCOLA MUNICIPAL;Rural;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501202;Álvares Florence;35028952;GERALDO ALVES MACHADO PROF;Urbana;Estadual;1,8;0,0;4,7;0,0;--;--
2019;Sudeste;SP;3501202;Álvares Florence;35234187;NILZA COSTA RODRIGUES PROFA CENTRO MUNICIPAL DE EDUCACAO;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501202;Álvares Florence;35234199;FLAVIO OLIVIO DE CAMARGO PROFESSOR EMEIEF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501301;Álvares Machado;35031948;ANGELICA DE OLIVEIRA PROFESSORA;Urbana;Estadual;4,9;5,7;6,7;2,5;--;--
2019;Sudeste;SP;3501301;Álvares Machado;35043138;MARCIO DE SOUZA E MELLO MARECHAL DO AR;Urbana;Estadual;1,8;3,9;0,0;0,0;--;--
2019;Sudeste;SP;3501301;Álvares Machado;35065407;APARECIDA MARQUES VACCARO EMEIF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501301;Álvares Machado;35071031;TEREZA ITO POLIDORIO PROFESSORA EMEIF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501301;Álvares Machado;35117109;SESI 348 CENTRO EDUCACIONAL;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501301;Álvares Machado;35218698;ALVARES MACHADO EMEIF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501301;Álvares Machado;35218704;FRANCO MONTORO GOVERNADOR EMEIF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501301;Álvares Machado;35267776;MARIO COVAS GOVERNADOR EMEIF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501301;Álvares Machado;35267788;MARCIA HELENA FERNANDEZ DE ARAUJO PROFA EMEIF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501301;Álvares Machado;35267797;JOSE MOLINA VEREADOR EMEIF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501301;Álvares Machado;35290920;AQUARELA ESCOLA DE ENSINO MEDIO;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501301;Álvares Machado;35802505;GENESIS COLEGIO;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501301;Álvares Machado;35802803;AQUARELA ESCOLA DE EDUCACAO INFANTIL E FUNDAMENTAL;Urbana;Privada;--;--;--;--;--;--
2019;Sudeste;SP;3501400;Álvaro de Carvalho;35033510;RAFAEL PAES DE BARROS DOUTOR;Urbana;Estadual;0,0;0,0;0,0;0,0;--;--
